MFL_Code,Facility_Name,County,SubCounty,Owner,Latitude,Longitude
14465,Enoosaen Health Centre,Narok,Transmara West,Ministry of Health,-1.0223,34.7336
10615,Kinunga Health Center,Nyeri,Nyeri Central,Ministry of Health,-0.436,36.8859
13627,Itibo Eramani Dispensary,Kisii,Bobasi,Ministry of Health,-0.754818,34.740259
13634,Jera Dispensary,Siaya,Ugenya,Ministry of Health,0.2862,34.2638
10991,Sagana Catholic Dispensary,Kirinyaga,Kirinyaga West,Kenya Episcopal Conference-Catholic Secretariat,-0.566715,37.320265
15474,Pwani (GOK) Dispensary,Nakuru,Njoro,Ministry of Health,-0.39356,36.02481
12867,Aga Khan Hospital,Nairobi,Westlands,Private Enterprise (Institution),-1.292066,36.821946
12518,Miambani Catholic,Kitui,Kitui Central,Kenya Episcopal Conference-Catholic Secretariat,-1.2621,38.1114
11581,Matuga Dispensary,Kwale,Matuga,Ministry of Health,-3.968514,39.54447
10594,Kihoya Health Center,Murang'a,Gatanga,Ministry of Health,-0.6477,36.9012
17111,Mashambani Health Centre,Kisumu,Muhoroni,Community,-0.029384,34.494442
16965,Kyau Dispensary,Makueni,Kaiti,Ministry of Health,-1.801198,37.708151
14198,Amakuriat Dispensary,West Pokot,Pokot North,Other Faith Based,2.2781,35.0054
12797,Thitani Health Centre,Kitui,Mwingi West,Ministry of Health,-1.325238,38.00357
13713,Kombe Dispensary,Migori,Kuria West,Ministry of Health,-0.931723,34.568456
13925,Nyangena Hospital,Kisii,Kitutu Chache South,Private Enterprise (Institution),-0.675747,34.771766
25155,St Joseph RiftValley Hospital,Nakuru,Gilgil,Ministry of Health,-0.411,36.2513
10253,Gikoe Dispensary,Murang'a,Murang'a south,Ministry of Health,-0.7619,36.9062
13955,Oboch Dispensary,Kisumu,Nyakach,Ministry of Health,-0.389,34.938
11481,Kinarani Dispensary,Kilifi,Kaloleni,Ministry of Health,-3.968514,39.54447
18767,Marps Drop In Medical Centre,Narok,Narok North,Non-Governmental Organizations,-1.0912,35.8727
11423,Jaffery Medical Clinic,Mombasa,Mvita,Private Enterprise (Institution),-4.06051,39.670281
